,SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NHWA_MALE,NHWA_FEMALE,H_MALE,H_FEMALE,% White,% Minority,Unemployment Change
209,50,1,1,Alabama,Autauga County,12,0,55869,27092,28777,5237,6000,121,145,286,370,20138,21077,884,787,73.77078522973383,24.75433603608441,9.1
437,50,1,3,Alabama,Baldwin County,12,0,223234,108247,114987,9486,10107,903,839,932,1448,89845,95902,5545,4989,83.20730713063422,15.342196977162978,12.9
665,50,1,5,Alabama,Barbour County,12,0,24686,13064,11622,6311,5595,103,67,55,61,5894,5341,629,488,45.511626022846954,53.91314915336628,6.6
893,50,1,7,Alabama,Bibb County,12,0,22394,11929,10465,2941,1822,53,50,23,25,8482,8181,343,280,74.40832365812271,24.72537286773243,14.8
1121,50,1,9,Alabama,Blount County,12,0,57826,28472,29354,516,462,192,178,85,100,24494,25682,2950,2632,86.77065679798015,12.304153840832843,7.1
1349,50,1,11,Alabama,Bullock County,12,0,10101,5508,4593,3713,3384,40,44,9,12,1350,771,449,415,20.997920997921,79.85347985347985,6.1
1577,50,1,13,Alabama,Butler County,12,0,19448,9024,10424,3885,4862,39,38,168,111,4730,5207,153,136,51.09522830111065,48.292883587001235,16.5
1805,50,1,15,Alabama,Calhoun County,12,0,113605,54481,59124,11220,12993,310,295,401,623,39377,42087,2358,2256,71.7081114387571,26.808679195457945,15.1
2033,50,1,17,Alabama,Chambers County,12,0,33254,15895,17359,6221,7144,59,50,240,134,8835,9496,472,399,55.124195585493474,44.2623443796235,12.9
2261,50,1,19,Alabama,Cherokee County,12,0,26196,12926,13270,558,515,94,87,37,66,11833,12181,229,220,91.67048404336539,6.894182317911131,9.6
2489,50,1,21,Alabama,Chilton County,12,0,44428,21800,22628,2247,2349,132,118,87,130,17235,18246,1990,1646,79.86179886558027,19.57999459800126,9.7
2717,50,1,23,Alabama,Choctaw County,12,0,12589,5938,6651,2370,2885,16,10,7,18,3458,3633,55,73,56.3269521010406,43.164667566923505,8.2
2945,50,1,25,Alabama,Clarke County,12,0,23622,11153,12469,4878,5757,56,77,46,57,5943,6366,162,148,52.10820421640844,47.33299466598933,10.3
3173,50,1,27,Alabama,Clay County,12,0,13235,6447,6788,867,957,30,45,19,19,5197,5437,231,204,80.34756327918399,17.92217604835663,6.6
3401,50,1,29,Alabama,Cleburne County,12,0,14910,7340,7570,193,231,35,44,10,23,6815,7024,212,175,92.8169014084507,6.190476190476191,9.6
3629,50,1,31,Alabama,Coffee County,12,0,52342,25742,26600,4429,4787,357,377,320,558,17928,18410,2189,1982,69.42417179320623,28.65576401360284,6.8
3857,50,1,33,Alabama,Colbert County,12,0,55241,26408,28833,4108,4851,195,187,152,222,20649,22286,925,864,77.72306801107874,20.825111782914867,13.4
4085,50,1,35,Alabama,Conecuh County,12,0,12067,5758,6309,2524,3036,36,31,11,17,3011,3066,150,127,50.360487279356924,49.15886301483384,11.0
4313,50,1,37,Alabama,Coosa County,12,0,10663,5335,5328,1606,1688,41,24,6,12,3513,3432,152,128,65.13176404389009,34.29616430648036,10.2
4541,50,1,39,Alabama,Covington County,12,0,37049,17927,19122,2138,2500,146,134,90,96,14967,15807,342,345,83.06297066047667,15.63065129963022,7.3
4769,50,1,41,Alabama,Crenshaw County,12,0,13772,6685,7087,1509,1780,42,49,80,72,4743,4934,185,148,70.26575660760965,28.064188207958175,13.0
4997,50,1,43,Alabama,Cullman County,12,0,83768,41408,42360,635,521,272,267,224,383,37901,38895,1924,1828,91.67701270174769,7.227103428516857,9.4
5225,50,1,45,Alabama,Dale County,12,0,49172,24214,24958,4790,5524,232,190,251,462,16743,16682,1831,1619,67.97567721467502,30.29976409338648,6.7
5453,50,1,47,Alabama,Dallas County,12,0,37196,17178,20018,11940,14360,74,40,91,76,4777,5255,237,192,26.970642004516616,72.61533498225616,16.2
5681,50,1,49,Alabama,DeKalb County,12,0,71513,35577,35936,688,652,744,702,199,172,28018,29085,5715,5059,79.84981751569644,19.48037419769832,9.1
5909,50,1,51,Alabama,Elmore County,12,0,81209,39236,41973,8345,8834,212,201,270,340,28610,30741,1289,1274,73.08426405940229,25.56982600450689,8.8
6137,50,1,53,Alabama,Escambia County,12,0,36633,18425,18208,5974,5476,703,725,53,69,10857,11237,530,422,60.31174078017089,38.08587885240084,8.5
6365,50,1,55,Alabama,Etowah County,12,0,102268,49496,52772,7542,8560,334,293,412,429,38398,40809,2225,2005,77.45042437517112,21.316540853443893,16.1
6593,50,1,57,Alabama,Fayette County,12,0,16302,7937,8365,927,974,41,37,19,59,6672,7031,172,163,84.05717089927617,14.673046251993622,8.2
6821,50,1,59,Alabama,Franklin County,12,0,31362,15782,15580,776,597,257,265,55,59,11636,12257,3153,2453,76.1845545564696,24.280976978509024,8.9
7049,50,1,61,Alabama,Geneva County,12,0,26271,12827,13444,1181,1264,147,146,44,48,10689,11262,584,511,83.55601233299075,14.940428609493358,5.5
7277,50,1,63,Alabama,Greene County,12,0,8111,3829,4282,3033,3449,18,13,11,12,693,730,73,66,17.544075946245837,82.29564788558747,17.0
7505,50,1,65,Alabama,Hale County,12,0,14651,6950,7701,3909,4591,17,22,19,25,2875,2944,111,98,39.71742543171114,60.00955566172957,17.2
7733,50,1,67,Alabama,Henry County,12,0,17205,8309,8896,2097,2357,49,30,33,40,5808,6156,239,224,69.53792502179599,29.462365591397848,6.0
7961,50,1,69,Alabama,Houston County,12,0,105882,50628,55254,13435,15541,257,317,477,660,33760,36203,1920,1711,66.07638692128974,32.41155248295272,8.3
8189,50,1,71,Alabama,Jackson County,12,0,51626,25367,26259,893,910,421,432,132,169,22559,23412,832,752,89.04621702243057,8.795955526285205,10.3
8417,50,1,73,Alabama,Jefferson County,12,0,658573,311232,347341,130550,155711,917,947,5599,6187,157313,168778,14247,12626,49.51478423804195,49.62001175268345,10.1
8645,50,1,75,Alabama,Lamar County,12,0,13805,6760,7045,673,753,18,25,7,8,5831,6043,145,118,86.01231437884825,12.654835204636,8.8
8873,50,1,77,Alabama,Lauderdale County,12,0,92729,44490,48239,4273,5016,219,195,359,399,37756,40669,1313,1339,84.57440498657378,14.141207173591862,11.9
9101,50,1,79,Alabama,Lawrence County,12,0,32924,16034,16890,1686,1896,936,970,33,40,12270,12852,403,376,76.30300085044345,19.25646944478192,8.9
9329,50,1,81,Alabama,Lee County,12,0,164542,80840,83702,17413,20325,323,274,3614,3246,55323,56041,3217,2874,67.68119993679426,31.168941668388616,10.1
9557,50,1,83,Alabama,Limestone County,12,0,98915,49444,49471,7118,6644,431,401,716,947,37321,37681,3133,3016,75.82469797300713,22.651771723196685,9.2
9785,50,1,85,Alabama,Lowndes County,12,0,9726,4570,5156,3234,3809,16,18,24,23,1214,1228,85,96,25.10795805058606,75.10795805058605,20.8
10013,50,1,87,Alabama,Macon County,12,0,18068,8218,9850,6442,8080,19,30,71,37,1476,1498,188,155,16.460039849457605,83.14146557449634,15.2
10241,50,1,89,Alabama,Madison County,12,0,372909,182366,190543,43203,49506,1491,1507,4532,5446,119621,120916,9959,9393,64.50286799192297,33.53016419555441,8.2
10469,50,1,91,Alabama,Marengo County,12,0,18863,8839,10024,4403,5335,25,23,25,32,4061,4319,275,253,44.42559508031596,54.98064994963685,8.9
10697,50,1,93,Alabama,Marion County,12,0,29709,14626,15083,664,483,65,59,41,57,13279,13973,434,366,91.72977885489246,7.300817933959407,8.0
10925,50,1,95,Alabama,Marshall County,12,0,96774,47717,49057,1766,1312,572,502,287,396,37296,39953,7706,6566,79.8241263149193,19.743939487878976,8.7
11153,50,1,97,Alabama,Mobile County,12,0,413210,196374,216836,68501,81208,1868,2012,3993,4566,113209,120338,6373,6070,56.52017134144865,42.252365625226886,11.8
11381,50,1,99,Alabama,Monroe County,12,0,20733,9869,10864,3857,4639,137,141,51,45,5508,5710,165,182,54.10697921188443,44.455698644672744,11.4
11609,50,1,101,Alabama,Montgomery County,12,0,226486,106394,120092,61404,72952,372,393,3607,3817,36023,38036,4344,4000,32.699151382425406,66.62177794653974,12.3
11837,50,1,103,Alabama,Morgan County,12,0,119679,58888,60791,7537,8128,686,606,356,463,43895,45932,5660,4806,75.05660976445324,23.59812498433309,8.9
12065,50,1,105,Alabama,Perry County,12,0,8923,4152,4771,2764,3299,17,12,42,14,1252,1349,69,75,29.149389218872578,70.51440098621539,16.4
12293,50,1,107,Alabama,Pickens County,12,0,19930,10014,9916,3798,4167,33,18,33,31,5408,5274,666,378,53.59759157049674,45.780230807827394,11.1
12521,50,1,109,Alabama,Pike County,12,0,33114,15919,17195,5714,6815,113,119,332,288,9098,9380,424,378,55.80117170985082,42.830826840611216,6.3
12749,50,1,111,Alabama,Randolph County,12,0,22722,11078,11644,2060,2310,47,60,43,61,8419,8712,358,324,75.39389138280082,23.162573717102365,9.8
12977,50,1,113,Alabama,Russell County,12,0,57961,27767,30194,12317,14047,211,199,183,329,12981,13581,1712,1666,45.82736667759356,52.904539259157026,8.1
13205,50,1,115,Alabama,St. Clair County,12,0,89512,44352,45160,4535,4115,178,162,374,429,37641,38790,1093,1092,85.386316918402,13.381446063097686,10.7
13433,50,1,117,Alabama,Shelby County,12,0,217702,105203,112499,13458,15539,439,425,2202,2722,81563,86528,6469,6166,77.21150931089286,21.7820690668896,7.3
13661,50,1,119,Alabama,Sumter County,12,0,12427,5684,6743,4026,4847,5,15,93,145,1467,1631,78,71,24.92958879858373,74.67610847348516,9.3
13889,50,1,121,Alabama,Talladega County,12,0,79978,38479,41499,12244,14167,198,150,246,310,24244,25556,1112,801,62.26712345895121,36.5450498887194,16.8
14117,50,1,123,Alabama,Tallapoosa County,12,0,40367,19562,20805,5102,5799,94,86,104,132,13580,14153,558,463,68.70215770307429,30.564570069611317,13.7
14345,50,1,125,Alabama,Tuscaloosa County,12,0,209355,100780,108575,30731,37134,433,343,1721,1669,62663,64622,4421,3887,60.79864345250889,38.374531298512096,14.3
14573,50,1,127,Alabama,Walker County,12,0,63521,30982,32539,1845,2089,204,163,174,190,27435,29002,923,758,88.84778262306953,9.99039687662348,10.1
14801,50,1,129,Alabama,Washington County,12,0,16326,8001,8325,1812,1992,594,710,153,34,5245,5361,138,126,64.96386132549307,34.04998162440279,8.7
15029,50,1,131,Alabama,Wilcox County,12,0,10373,4922,5451,3433,3938,9,14,12,9,1372,1414,80,69,26.858189530511904,72.92008097946592,17.3
15257,50,1,133,Alabama,Winston County,12,0,23629,11627,12002,132,104,107,96,30,55,10812,11234,413,368,93.3006051885395,5.522874433958272,7.3
