year,month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
2018,5,3.8,3.6,3.4,12.8,3.5,5.9,2.2,4.9
2018,6,4,3.7,3.6,12.6,3.5,6.5,3.2,4.5
2018,7,3.8,3.4,3.6,13,3.3,6.6,3.1,4.4
2018,8,3.8,3.5,3.5,12.8,3.4,6.3,3,4.7
2018,9,3.7,3.4,3.3,12.7,3.3,6.2,3.5,4.6
2018,10,3.8,3.5,3.4,12.2,3.3,6.3,3.1,4.4
2018,11,3.7,3.3,3.4,12.4,3.4,6.1,2.8,4.5
2018,12,3.9,3.6,3.5,12.6,3.4,6.6,3.3,4.4
2019,1,4,3.7,3.6,12.9,3.5,6.8,3.1,4.8
2019,2,3.8,3.5,3.4,13.3,3.3,6.9,3.1,4.3
2019,3,3.8,3.6,3.3,12.7,3.4,6.6,3.1,4.7
2019,4,3.6,3.4,3.1,12.9,3.1,6.6,2.2,4.2
2019,5,3.6,3.4,3.3,12.6,3.3,6.2,2.5,4.2
2019,6,3.7,3.3,3.3,12.7,3.3,6,2.1,4.3
2019,7,3.7,3.3,3.3,12.7,3.3,5.9,2.8,4.5
2019,8,3.7,3.3,3.3,12.5,3.4,5.4,2.8,4.2
2019,9,3.5,3.2,3.1,12.5,3.2,5.5,2.5,3.9
2019,10,3.6,3.2,3.2,12.3,3.2,5.5,2.8,4.1
2019,11,3.5,3.2,3.2,12,3.2,5.6,2.6,4.2
2019,12,3.5,3.1,3.2,12.6,3.2,5.9,2.5,4.2
2020,1,3.6,3.3,3.2,12.2,3.1,6,3,4.3
2020,2,3.5,3.3,3.1,11,3.1,5.8,2.5,4.4
2020,3,4.4,4,4,14.3,4,6.7,4.1,6
2020,4,14.7,13,15.5,31.9,14.2,16.7,14.5,18.9
2020,5,13.3,11.6,13.9,29.9,12.4,16.8,15,17.6
2020,6,11.1,10.2,11.2,23.2,10.1,15.4,13.8,14.5
